loss,pg_loss,kl_loss,reward_mean,reward_std,kl_mean,advantage_std,step,stage,elapsed
-0.25225260853767395,-0.25225260853767395,0.0,0.439639151096344,0.2957945168018341,0.0,0.8230547904968262,0,easy,0.6788020133972168
-0.2437409907579422,-0.2427133321762085,-0.0010276582324877381,0.8786519169807434,0.07971318811178207,-0.010276582092046738,0.9503819346427917,1,easy,0.7550506591796875
-0.04236295819282532,-0.04298768937587738,0.0006247297278605402,0.6660335659980774,0.16811156272888184,0.006247296929359436,0.9503818154335022,2,easy,0.825627326965332
-0.07104182243347168,-0.0699007511138916,-0.0011410750448703766,0.48800963163375854,0.32818037271499634,-0.011410750448703766,0.823054850101471,3,easy,0.9011561870574951
-0.14710037410259247,-0.1528005599975586,0.0057001798413693905,0.8035089373588562,0.09062560647726059,0.05700179561972618,0.950381875038147,4,easy,0.9747483730316162
-0.32098180055618286,-0.319983571767807,-0.0009982396150007844,0.5201414227485657,0.344577819108963,-0.0099823959171772,0.823054850101471,5,easy,1.0420818328857422
-1.4924157857894897,-1.49766206741333,0.005246337968856096,0.8796764612197876,0.059531036764383316,0.05246337875723839,0.9503819346427917,6,easy,1.111415147781372
-0.12096118927001953,-0.11891768127679825,-0.0020435096230357885,0.8401893377304077,0.1320755034685135,-0.020435094833374023,0.8230547904968262,7,easy,1.1833152770996094
-1.2302911281585693,-1.2284741401672363,-0.00181699323002249,0.8997460603713989,0.04905904829502106,-0.018169932067394257,0.950381875038147,8,easy,1.2501883506774902
-0.5928916931152344,-0.5911014080047607,-0.0017902872059494257,0.8870655298233032,0.05283791944384575,-0.01790287159383297,0.9503819346427917,9,easy,1.3233966827392578
-0.8121488690376282,-0.8105287551879883,-0.0016201101243495941,0.9204263687133789,0.03293558582663536,-0.01620110124349594,0.9503819346427917,10,easy,1.3949534893035889
-0.28888314962387085,-0.2842685282230377,-0.004614627920091152,0.7750445008277893,0.17412690818309784,-0.04614627733826637,0.8230547308921814,11,easy,1.4666614532470703
-0.056192755699157715,-0.051790863275527954,-0.004401892423629761,0.7111838459968567,0.19536201655864716,-0.04401892423629761,0.950381875038147,12,easy,1.534864902496338
-0.34664222598075867,-0.3444538116455078,-0.0021884033922106028,0.8522480726242065,0.07190605252981186,-0.02188403345644474,0.9503819346427917,13,easy,1.5988919734954834
-0.7810390591621399,-0.7806549072265625,-0.00038416218012571335,0.8394540548324585,0.18954508006572723,-0.0038416218012571335,0.823054850101471,14,easy,1.6691079139709473
-0.5242792963981628,-0.5198749303817749,-0.004404385574162006,0.7763757705688477,0.19686144590377808,-0.044043853878974915,0.9503819346427917,15,easy,1.743293285369873
