loss,pg_loss,kl_loss,reward_mean,reward_std,kl_mean,advantage_std,step,elapsed
-4.738541603088379,-4.738541603088379,0.0,0.8227453827857971,0.11328031122684479,0.0,0.9045340418815613,0,2.015075922012329
-6.267760276794434,-6.267763137817383,2.754728257059469e-06,0.826326310634613,0.12666833400726318,2.7547281206352636e-05,0.9045340418815613,1,3.8431973457336426
-3.131598711013794,-3.131687879562378,8.92480238690041e-05,0.5044459104537964,0.4544684886932373,0.0008924802532419562,0.7385488748550415,2,5.716212749481201
0.23720037937164307,0.2371012419462204,9.913643589243293e-05,0.5243145823478699,0.3906621038913727,0.0009913643589243293,0.7385489344596863,3,7.550520181655884
-2.0007216930389404,-2.000823974609375,0.00010227462189504877,0.509168803691864,0.4002991318702698,0.0010227462043985724,0.7385489344596863,4,9.263635396957397
-3.1412863731384277,-3.141443967819214,0.0001575022906763479,0.8862936496734619,0.15156133472919464,0.0015750229358673096,0.9045340418815613,5,11.027569055557251
-0.4434812664985657,-0.4436187744140625,0.00013751884398516268,0.4558800756931305,0.3755042850971222,0.0013751884689554572,0.738548994064331,6,12.75466012954712
-2.5007548332214355,-2.5008277893066406,7.307132909772918e-05,0.5043624639511108,0.38920581340789795,0.0007307132473215461,0.7385489344596863,7,14.517422914505005
-0.009918836876749992,-0.010302226059138775,0.00038338900776579976,0.5920328497886658,0.4399769902229309,0.0038338899612426758,0.5222329497337341,8,16.221417665481567
-3.1960830688476562,-3.196239471435547,0.00015636584430467337,0.8268535733222961,0.17764528095722198,0.0015636583557352424,0.7385489344596863,9,17.96180272102356
-5.492950439453125,-5.493405818939209,0.00045525236055254936,0.7689185738563538,0.146724134683609,0.004552523605525494,0.904534101486206,10,19.692686080932617
1.1698663234710693,1.1696510314941406,0.00021525126066990197,0.5483232140541077,0.4120853841304779,0.0021525125484913588,0.7385489344596863,11,21.41585874557495
-0.9300957322120667,-0.9301325678825378,3.684659895952791e-05,0.8251270651817322,0.14428168535232544,0.0003684659895952791,0.9045340418815613,12,23.1230525970459
